structure,method,size,total_time,avgiter,avgaccess,opt
vector,std::for_each,1000,80583899,8058,8,0
array,index,50,275990,27,0,1
vector,index,50,388652,38,0,1
vector,iterator,50,289341,28,0,1
vector,for_each,50,294648,29,0,1
array,random,50,3313291,331,6,1
vector,random,50,4212962,421,8,1
array,index,1000,5338134,533,0,1
vector,index,1000,7904740,790,0,1
vector,iterator,1000,2824020,282,0,1
vector,for_each,1000,5249327,524,0,1
array,random,1000,71685041,7168,7,1
vector,random,1000,77875110,7787,7,1
vector,std::for_each,50,298754,29,0,1
vector,std::for_each,1000,5245927,524,0,1
array,index,50,167798,16,0,2
vector,index,50,322897,32,0,2
vector,iterator,50,163039,16,0,2
vector,for_each,50,161181,16,0,2
array,random,50,3582133,358,7,2
vector,random,50,3614418,361,7,2
array,index,1000,165216,16,0,2
vector,index,1000,2872775,287,0,2
vector,iterator,1000,163759,16,0,2
vector,for_each,1000,167750,16,0,2
array,random,1000,63645438,6364,6,2
vector,random,1000,76299113,7629,7,2
vector,std::for_each,50,163694,16,0,2
vector,std::for_each,1000,165514,16,0,2
array,index,50,165394,16,0,3
vector,index,50,327591,32,0,3
vector,iterator,50,192310,19,0,3
vector,for_each,50,163663,16,0,3
array,random,50,3617187,361,7,3
vector,random,50,3621172,362,7,3
array,index,1000,171681,17,0,3
vector,index,1000,2950102,295,0,3
vector,iterator,1000,163709,16,0,3
vector,for_each,1000,163560,16,0,3
array,random,1000,60396263,6039,6,3
vector,random,1000,77663883,7766,7,3
vector,std::for_each,50,163614,16,0,3
vector,std::for_each,1000,170902,17,0,3
array,index,50,1052013,105,2,0
vector,index,50,4670949,467,9,0
vector,iterator,50,7608925,760,15,0
vector,for_each,50,4124206,412,8,0
array,random,50,4169621,416,8,0
vector,random,50,7326037,732,14,0
array,index,1000,20024259,2002,2,0
vector,index,1000,88431256,8843,8,0
vector,iterator,1000,143663544,14366,14,0
vector,for_each,1000,69249405,6924,6,0
array,random,1000,79502516,7950,7,0
vector,random,1000,137148337,13714,13,0
vector,std::for_each,50,4626181,462,9,0
vector,std::for_each,1000,83480784,8348,8,0
array,index,50,289347,28,0,1
vector,index,50,398723,39,0,1
vector,iterator,50,296894,29,0,1
vector,for_each,50,294870,29,0,1
array,random,50,3381666,338,6,1
vector,random,50,4201510,420,8,1
array,index,1000,5438861,543,0,1
vector,index,1000,7873022,787,0,1
vector,iterator,1000,2752566,275,0,1
vector,for_each,1000,5199977,519,0,1
array,random,1000,69110537,6911,6,1
vector,random,1000,80633577,8063,8,1
vector,std::for_each,50,291745,29,0,1
vector,std::for_each,1000,5206268,520,0,1
array,index,50,161462,16,0,2
vector,index,50,323171,32,0,2
vector,iterator,50,162907,16,0,2
vector,for_each,50,165500,16,0,2
array,random,50,3621882,362,7,2
vector,random,50,3791208,379,7,2
array,index,1000,162926,16,0,2
vector,index,1000,2915472,291,0,2
vector,iterator,1000,163695,16,0,2
vector,for_each,1000,167748,16,0,2
array,random,1000,62126108,6212,6,2
vector,random,1000,76335975,7633,7,2
vector,std::for_each,50,165360,16,0,2
vector,std::for_each,1000,163959,16,0,2
array,index,50,163679,16,0,3
vector,index,50,322645,32,0,3
vector,iterator,50,162574,16,0,3
